"SwCType: AtomicSwComponentType  |  Safety: ASIL-B  |  Cycles: Init (once) | 1 ms (TimingEvent) | 10 ms (TimingEvent)  |  Purpose: Motor protection — overcurrent, overvoltage, overtemperature detection; Iq derating",,,,,,,,,,,,,,,
■  PORTS AND INTERFACES,,,,,,,,,,,,,,,
REQ-ID,Port ShortName,Direction,Interface ShortName,Interface Type,Data Element,Impl. Type,Phys. Unit,Resolution,Min Value,Max Value,CompuMethod,Comm. Mode,Connected To,Description,ASIL
REQ-ID,Runnable ShortName,RTE Event,Cycle / Condition,Ports Read,Ports Written,CalPrm Used,IRV Read,IRV Written,ExclusiveArea,Init Required,Return Type,Description,ASIL,Timing Budget,Notes
MON-RUN-001,MtrMon_Init,InitEvent,Once,"IdMon, IqMon, MtrT, VdcMon","IqMaxOut, MtrProtSt, OcSt, OtSt",All MtrMon CalPrm,—,"OcState, OtState",—,Yes,void,"Set OcSt=FALSE, OtSt=FALSE, MtrProtSt=OK, IqMaxOut=IqMaxNom, init state IRVs",ASIL-B,<50 µs,
MON-RUN-002,MtrMon_1ms,TimingEvent,1 ms,"IdMon, IqMon, VdcMon, SpdMon","OcSt, MtrProtSt, IqMaxOut","IOcThd, VdcOvThd, VdcUvThd, OsSpdThd",OcState,OcState,EA_MtrState,No,void,"1. Read IdMon, IqMon → convert to float (×0.01)
2. Compute |Idq|=sqrt(Id²+Iq²); compare to IOcThd
3. OC detection with debounce counter (3 consecutive cycles)
4. If OC: OcSt=TRUE, IqMaxOut=0, MtrProtSt=OC_Fault
5. DC bus OV/UV check: VdcMon vs VdcOvThd and VdcUvThd
6. Overspeed check: SpdMon vs OsSpdThd
7. Update MtrProtSt with highest priority active fault",ASIL-B,<60 µs,sqrt() may need CORDIC approximation for ASIL-B
MON-RUN-003,MtrMon_10ms,TimingEvent,10 ms,MtrT,"OtSt, IqMaxOut, MtrProtSt","TOtThd, TOtHyst, IqDerateSlope, IqMaxNom","OtState, OcState",OtState,EA_MtrState,No,void,"1. Read MtrT (sint16, °C)
2. OT detection with hysteresis:
   - Enter OT: T > TOtThd → OtSt=TRUE
   - Exit OT:  T < (TOtThd - TOtHyst) → OtSt=FALSE
3. Thermal derating: if T near threshold:
   IqAvail = IqMaxNom - IqDerateSlope*(T - (TOtThd - 20))
   Clamp IqAvail to [0, IqMaxNom]
4. If OcState=Fault → IqMaxOut=0 (OC overrides derating)
   Else: IqMaxOut = IqAvail
5. Update MtrProtSt (OT_Fault or OT_Warn)",ASIL-B,<40 µs,10ms sufficient for thermal dynamics
■  CALIBRATION PARAMETERS (CalPrm — ParameterInterface),,,,,,,,,,,,,,,
REQ-ID,CalPrm ShortName,Long Name,Impl. Type,Unit,Default Value,Min Value,Max Value,Resolution,A2L Access,Online Calibratable,CompuMethod,Used In Runnable,Physical Description,Impact if Wrong,Notes
MON-CAL-001,IOcThd,Overcurrent peak threshold,float32,A,150.0,50.0,400.0,0.1,Yes,No,ALnrl,MtrMon_1ms,Peak |Idq| threshold triggering overcurrent fault,Too low: nuisance trips. Too high: motor / inverter damage,Must be < hardware OC threshold
MON-CAL-002,TOtThd,Overtemperature trip threshold,sint16,°C,120,80,150,1,Yes,No,TIdentcl,MtrMon_10ms,Motor winding temperature triggering OT fault,Too high: insulation damage / winding failure,Check motor datasheet
MON-CAL-003,TOtHyst,Overtemperature hysteresis,sint16,°C,10,2,30,1,Yes,No,TIdentcl,MtrMon_10ms,Temperature must drop by this much below TOtThd to clear OT flag,Too small: chattering. Too large: delayed recovery,
MON-CAL-004,VdcOvThd,DC bus overvoltage threshold,uint16,V×10,7500,4000,9000,1,Yes,No,VdcLnrl,MtrMon_1ms,DC bus OV fault threshold (×0.1 → 750 V),Too low: nuisance trips during regen. Too high: capacitor damage,
MON-CAL-005,VdcUvThd,DC bus undervoltage threshold,uint16,V×10,3000,1000,4000,1,Yes,No,VdcLnrl,MtrMon_1ms,DC bus UV fault threshold (×0.1 → 300 V),Too high: spurious faults. Too low: controller brownout,
MON-CAL-006,IqDerateSlope,Iq thermal derating slope,float32,A/°C,2.0,0.1,20.0,0.01,Yes,Yes,ALnrl,MtrMon_10ms,Rate at which IqMax is reduced per °C above derating start (TOtThd-20°C),Too steep: aggressive derating. Too shallow: insufficient protection,
■  INTER-RUNNABLE VARIABLES (IRV) AND EXCLUSIVE AREAS,,,,,,,,,,,,,,,
REQ-ID,Name,Type,Kind,Written By,Read By,Protected By EA,Data Description,Init Value,Size (bytes),Persistence,ASIL,Notes,,,
MON-IRV-001,OcState,uint8,IRV,"MtrMon_1ms, MtrMon_Init","MtrMon_10ms, MtrMon_1ms",EA_MtrState,OC state machine (0=OK 1=Warning 2=Fault 3=Debounce),0U,1,,ASIL-B,,,,
MON-IRV-002,OtState,uint8,IRV,"MtrMon_10ms, MtrMon_Init","MtrMon_10ms, MtrMon_1ms",EA_MtrState,OT state machine (0=OK 1=Warning 2=Fault),0U,1,,ASIL-B,,,,
MON-EA-001,EA_MtrState,—,ExclusiveArea,—,—,—,Protects OcState and OtState between 1ms and 10ms runnables (different tasks),—,—,—,ASIL-B,Critical: 1ms and 10ms are in different OS tasks on TC377,,,
